CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
21202280,SEDE IDEAM CALLE 25D KRA [21202280],PRECIPITACION,Día pluviométrico (convencional),2026-06-12 00:00,mm,0,Preliminar
21202280,SEDE IDEAM CALLE 25D KRA [21202280],PRECIPITACION,Día pluviométrico (convencional),2026-06-13 00:00,mm,0,Preliminar
21202280,SEDE IDEAM CALLE 25D KRA [21202280],PRECIPITACION,Día pluviométrico (convencional),2026-06-14 00:00,mm,1.9,Preliminar
21202280,SEDE IDEAM CALLE 25D KRA [21202280],PRECIPITACION,Día pluviométrico (convencional),2026-06-15 00:00,mm,1.9,Preliminar
21202280,SEDE IDEAM CALLE 25D KRA [21202280],PRECIPITACION,Día pluviométrico (convencional),2026-06-16 00:00,mm,0.3,Preliminar
21202280,SEDE IDEAM CALLE 25D KRA [21202280],PRECIPITACION,Día pluviométrico (convencional),2026-06-17 00:00,mm,0.9,Preliminar
21202280,SEDE IDEAM CALLE 25D KRA [21202280],PRECIPITACION,Día pluviométrico (convencional),2026-06-18 00:00,mm,3.1,Preliminar
